route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Windsor Stn to Old Sackville Rd/Cop,Windsor to Richmond via Wilberforce and Glossodia,In,Regular,668,668-4,GSBC001,Busways R1,GSBC Contract 1,10.33,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",12436.700670555034
Berambing Picnic Area to Richmond Stn,Richmond to Kurrajong & Berambing (Loop Service),In,Regular,682,682-35,GSBC001,Busways R1,GSBC Contract 1,40,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",48070.69230401738
Akolele to Narooma,Akolele to Narooma,In,School,S436,S436-1,C0444,Symons Bus & Coach Service,RRPBC C0444,26.3,office@symonsbus.com,0244764827,02 4476 4827,,"179 Old Highway, NAROOMA, NSW, 2546",32670.159833159007
Qantas Domestic Terminal to Bondi Jct. Interchange,Bondi Junction - Domestic Airport,In,Regular,350,350-85,GSBC009,Transdev John Holland Buses,GSBC Contract 9,18.15,daniela.fontana@transdevjohnholland.com.au,0488 745 279,02 7257 2488,,"Level 8, 469 La Trobe Street, MELBOURNE, VIC, 3000",21929.692650597313
"Leumeah Stn, Plough Inn Rd - Campbelltown Stn, Std",Campelltown to Leumeah Station via Blair Athol,In,Regular,879,879-7,GSBC002,Transit Systems NSW SW,GSBC Contract 2,11.1,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",13424.733750225065
Hickeys Creek Rd/Armidale Rd to 997 Hickeys Creek Rd,School Service,Out,School,S609,S609-99072,L0822,Busways,RRBSC L0822,13.03,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",15199.320962476071
Glens Creek Rd and Blaxlands Creek to Nymboida PS,Glens Creek Rd and Blaxlands Creek to Nymboida PS,In,School,S871,S871-36,C0403,BNA Buses,RRPBC C0403,6.67,harvey@bnabuses.com.au,0403 352 211,,02 6642 6518,"3 Arkan Avenue, WOOLGOOLGA, NSW, 2456",7705.676249156459
Holy Spirit - Keiraville,Wollongong Conservatorium of Music to Holy Spirit College ,Out,School,S113,S113-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,11.32,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",13743.28337448196
Cudal Public to Cudal via Bowen Park,Cudal to Cudal Public via Bowen Park,Out,School,S541,S541-2,C0407,Cabonne Bus Lines,RRPBC C0407,47.56,"ryanep@bigpond.com, cabonnebuslines@bigpond.com",0447 900991,02 6364 2102,0408 170 251,"7 Boree St,, CUDAL, NSW, 2864",57032.83993987066
Picton Station To Narellan,Picton to Narellan and Campbelltown,Out,Regular,900,900-16,P0203,Picton Buslines,RRPBC P0203,29.34,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",35515.08460159476
Rowena Public to Moomin Rd,Moomin Rd to Rowena Public,Out,School,S185,S185-2,C0758,PATBEAU DIESEL,RRPBC C0758,39.34,spjrbrummell@gmail.com,0427 965 364,,,,45353.05025285047
Reservoir/Apex to Blacktown South PS,School Service,In,School,6004,6004-91014,GSBC001,Busways R1,GSBC Contract 1,5.39,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6502.941728088905
Vale of Clwydd to Lithgow (Loop Service),Vale of Clwydd to Lithgow (Loop Service),In,Regular,500,500-3,M0302,Lithgow Buslines,RRBSC M0302,9.44,info@buslinesgroup.com.au,0407 417 936,,,"1 Burwood Road, BURWOOD, NSW, 1805",11335.409594668978
Goolgowi to Griffith Schools,Goolgowi to Griffith Schools,In,School,S415,S415-1,C0406,C & J Robertson P/L,RRPBC C0406,58.4,jul-77@live.com,0488 551 375,,,"83 Spence Road, GRIFFITH, NSW, 2680",70727.06230274677
"Auburn Station, Stand C to Macquarie Centre",Auburn to Macquarie Centre via Eastwood,In,Regular,544,544-161,GSBC007,Busways North West,GSBC Contract 7,19.28,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23257.7898168013
Woy Woy Stn to Gosford Stn,Gosford & Woy Woy via Kincumber & Empire Bay,In,Regular,64,64-247,OMBSC006,Busways OMR6,OMBSC Contract 6,47.63,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",57216.1517929571
"Wyong Station, Stand B to Gosford Station, Stand N",Wyong to Gosford,In,Regular,19,19-19,OMBSC007,Redbus CDC NSW,OMBSC Contract 7,46.37,jodie.mallia@cdcbus.com.au,0243328655,,,"28 Prosperity St, TRUGANINA, VIC, 3029",55636.803239719084
Taree to Forster,Forster to Taree,Out,Regular,310,310-9,P0200,Eggins Coaches,RRPBC P0200,37.5,info@egginscomfortcoaches.com.au,0427 522 702,0265 522700,02 6552 2700 ,"2 Elizabeth Avenue, TAREE, NSW, 2430",44399.4339614042
"Fairfield Stn, Std A - Nijong Dr Opp Wombat St",Blacktown to Fairfield via Pemulwuy,Out,Regular,800,800-5,GSBC003,Transit Systems NSW,GSBC Contract 3,17.08,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",20604.22132361204
RBCC 5 - Red Bend Catholic - Parkes Danilenko St,RBCC 5 - Parkes Danilenko St to Red Bend Catholic,Out,School,S477,S477-2,P0229,Western Road Liners,RRPBC P0229,47.78,cjm@westernroadliners.com.au,0429 432 560,02 6862 1915,02 6862 1022,"30 Danilenko St, PARKES, NSW, 2870",57310.57668741611
"Berrara to Bomaderry Station via Sussex Inlet, Tomerong & Nowra","Berrara to Bomaderry Station via Sussex Inlet, Tomerong & Nowra",In,Regular,135,135-20,P0206,Shoalbus,RRPBC P0206,69.52,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",85102.99197856993
Penrith Stn to Mt Druitt Station,Penrith to Mt Druitt via Christie St,In,Regular,780,780-88,GSBC001,Busways R1,GSBC Contract 1,19.43,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23416.44275729065
Cowra Schools to Woodstock via Porters Mount Rd,Woodstock to Cowra Schools via Porters Mount Rd,Out,School,S162,S162-2,C0585,Dowd Bros Buses,RRPBC C0585,30.6,dowdbrothers@outlook.com,0439586627,,,"38 Vaux Street, COWRA, NSW, 2794",36909.61372241729
West Wyalong Town to West Wyalong Schools,West Wyalong Town to West Wyalong Schools,In,School,S657,S657-1,C0661,Kelly Coaches,RRPBC C0661,11.25,kellyscoaches@bigpond.com,0427 723 947,69720555,69720555,,13592.135191983094
Bega to Tathra via Auckland St & SE Regional Hospital,Bega to Tathra via Auckland St & SE Regional Hospital,Out,Regular,885,885-2,P0207,Sapphire Coast Buslines,RRPBC P0207,6.43,jamiek@scbuslines.com.au,0428 963 879,02 6495 6452,(02) 6495 6452,"39 Redfern Close, SOUTH PAMBULA, NSW, 2549",8012.134390134794
"Gosford Station, Stand A to Hutton Rd opp Wyuna Ave",The Entrance North to Gosford,Out,Regular,17,17-1,OMBSC007,Redbus CDC NSW,OMBSC Contract 7,25.88,jodie.mallia@cdcbus.com.au,0243328655,,,"28 Prosperity St, TRUGANINA, VIC, 3029",31064.61068302856
Coolamon to Wagga Wagga ,Coolamon to Wagga Wagga ,In,Regular,931,931-17,C0270,Allens Coaches,RRPBC C0270,43.73,office@allenscoaches.com.au,0427273022,0427273022,(02) 6927 3022,"78 Mirrool Street, COOLAMON, NSW, 2701",53503.404506495586
Braidwood to Krawarree,Krawarree to Braidwood,Out,School,S551,S551-2,C0404,Braidwood Buses,RRPBC C0404,56.78,mark@braidwoodbuses.com.au,0438 354 894,0438 354 894,02 4842 2788,"13 Sandholes Road, BRAIDWOOD, NSW, 2622",69997.97724417428
Kiama to Jamberoo & Minnamurra Falls,Kiama to Jamberoo & Minnamurra Falls,Out,Regular,125,125-5,S0310,Kiama Coaches,RRBSC S0310,9.78,kim@kiamacoaches.com.au,0418 425 770,02 4232 3466,(02) 4232 3466,"154 Shoalhaven Street, KIAMA, NSW, 2533",11900.304781292865
San Clemente HS to Pacific Hwy/Masonite,School Service,Out,School,S646,S646-69072,M0821,Busways,RRBSC M0821,119.74,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",142647.92743771337
Queen/Reginald Ward to Belgrave St (Travels,School Service,In,School,S494,S494-13101,L0822,Busways,RRBSC L0822,3.35,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",3920.3483550181386
Richmond Stn (Opp) to Mitchell/Spinks,Windsor to Richmond via Wilberforce and Glossodia,Out,Regular,668,668-18,GSBC001,Busways R1,GSBC Contract 1,23.17,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",27851.028689171606
Beecroft Station to Beecroft Station,Beecroft to West Pennant Hills (Loop Service),Out,Regular,553,553-36,GSBC007,Busways North West,GSBC Contract 7,11.19,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13490.452617495233
Echuca to 24 Lane (Loop Service),Echuca to 24 Lane (Loop Service),In,Regular,937,937-3,C0274,James Newtons Bus Service Pty,RRPBC C0274,13.95,info@newtonsbusservices.com.au,0417 534 971,03 5484 1129,,"7 Fuller Ave, ROCHESTER, VIC, 3561",17289.847763833142
Bankstown Station Stand D to Westfield Hurstville,Hurstville to Bankstown via Riverwood,In,Regular,940,940-464,GSBC010,U-Go Mobility,GSBC Contract 10,14.94,Leanne.frederiksen@u-gomobility.com,0411018331,,,,18033.943640046247
Grafton PS to Prince St (Market Sq,School Service,Out,School,S728,S728-32110,L0816,Busways,RRBSC L0816,8.82,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10156.760078483156
Bonnyrigg T-Way Stn - To Liverpool - Fairfield Stn,Bonnyrigg & Western Sydney Parklands to Fairfield,In,Regular,813,813-14,GSBC003,Transit Systems NSW,GSBC Contract 3,39.33,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",47448.77717192341
Berrigan to Finley Schools,Berrigan to Finley Schools,In,School,S531,S531-4,C0419,Dysons Buslines,RRPBC C0419,43.68,emaidment@dysongroup.com.au,0439 116 398,,,"89 MCCrabb Road, DENILIQUIN, NSW, 2710",53785.56232448504
Young Schools to Young via Spring Creek Rd & Wickham Lane,Young to Young Schools via Wickham Lane & Spring Creek Rd,Out,School,S589,S589-2,C0543,Carty's Bus Co,RRPBC C0543,18.53,cartysbusco@yahoo.com,0427 333 666,,,,22485.70665626492
Ganmain to Wagga Wagga via Coolamon,Ganmain to Wagga Wagga via Coolamon,Out,Regular,930,930-14,C0270,Allens Coaches,RRPBC C0270,80.89,office@allenscoaches.com.au,0427273022,0427273022,(02) 6927 3022,"78 Mirrool Street, COOLAMON, NSW, 2701",98765.77444004457
Tapio St opp Dareton Bus Depot to Dareton Bus Depot,"Dareton Loop via Mildura, Merbein and Curlwaa",Out,Regular,956,956-23,V0298,CDC Mildura,RRBSC V0298,74.8,cdcmildura@cdcbus.com.au,0413 958 057,0408037448,03 50230274,"8-10 Bathurst Court, MILDURA, VIC, 3500",90488.12584407216
Settlement City to Settlement City,Supplementary Loop (Clockwise),In,Regular,329,329-12,L0822,Busways,RRBSC L0822,17.47,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",20520.624501704693
Belgrave St (Travelscene) to Dungay Creek/Clarkes,School Service,Out,School,S625,S625-74091,L0822,Busways,RRBSC L0822,23.89,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",27922.13624245701
Condobolin Schools to The Gipps Way,The Gipps Way to Condobolin Schools,Out,School,S612,S612-2,C0560,Condobolin Buses,RRPBC C0560,32.55,condobolinbuses@hotmail.com,0428 845 476,,0428 845 476,,39055.43459051297
"West Ryde Station - Ryedale Rd to Hyde Park, Stand B",West Ryde to City via Victoria Rd (Limited Stops),In,Express,500X,500X-67,GSBC007,Busways North West,GSBC Contract 7,15.66,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",18884.25705227565
Tarcutta to Westbrook Rd and Humula Rd,Westbrook Rd and Humula Rd to Tarcutta,Out,School,S257,S257-2,C0797,S L and S L Hardwick Pty Ltd,RRPBC C0797,31.91,lone_pine2009@hotmail.com,0427 287 129,,,"23 Argent St, TARCUTTA, NSW, 2652",39199.257269866
Candelo to Wolumla via Bemboka,Candelo to Wolumla via Bemboka,Out,School,S542,S542-4,P0207,Sapphire Coast Buslines,RRPBC P0207,52.21,jamiek@scbuslines.com.au,0428 963 879,02 6495 6452,(02) 6495 6452,"39 Redfern Close, SOUTH PAMBULA, NSW, 2549",65162.83212049153
Wingham North to Wingham via Richardson St and Isabella St,Wingham to Wingham North via Isabella St & Richardson St,In,Regular,301,301-92,V0820,Wingham Buslines,RRBSC V0820,8.69,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",10248.947980648249
Napier Lane to Coonabarabran Schools,Napier Lane to Coonabarabran Schools,In,School,S647,S647-1,C0373,McWhirter's Bus Service,RRPBC C0373,54.57,squirtsbus@gmail.com,0429 457 768,,,"190 Purlewaugh Road, COONABARABRAN, NSW, 2357",63937.268774591765
Pacific Hwy/Old Tuggerah to Gosford Stn,Tuggerah-Lisarow-Gosford,In,Regular,37,37-182,OMBSC006,Busways OMR6,OMBSC Contract 6,17.09,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",20525.229203999563
Nerriga to Braidwood School,Nerriga to Braidwood School,In,School,S570,S570-2,C0748,Nerriga Rd Bus Company Pty Ltd,RRPBC C0748,50.4,hartsrural@gmail.com,0408 868 675,,,"21a Coghill St, BRAIDWOOD, NSW, 2622",61859.503967532866
Gosford Stn to Erina St/Imperial Ce,School Service,Out,School,2801,2801-166,OMBSC006,Busways OMR6,OMBSC Contract 6,0.5700000000000001,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",685.5510331399516
St Josephs Regional to Ocean/St Albans,School Service,Out,School,S503,S503-78186,L0822,Busways,RRBSC L0822,49.38,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",58083.46100432323
Railway Town Public School to Chapple St and Zebina St,Broken Hill Schools to Thomas St and Broken Hill Nth,Out,School,S107,S107-16,S0308,CDC Broken Hill,RRBSC S0308,27.31,cdcbrokenhill@cdcbus.com.au,0428877431,03 9977 9972,,"13 Kanandah Road, BROKEN HILL, NSW, 2880",32255.42467541473
Koala Bus  Oakdale to Picton Schools via Thirlmere,Oakdale to Picton Schools via Thirlmere,In,School,S846,S846-1,P0203,Picton Buslines,RRPBC P0203,43.76,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",53027.57771976578
Jerilderie Oaklands Rd to Oaklands Central via Boonie Doon Rd,Jerilderie Oaklands Rd to Oaklands Central via Boonie Doon Rd,In,School,S795,S795-1,V0093,Cann's Bus Mgmt,RRBSC V0093,59.28,admin@cannsbuslines.com.au,0458 275 657,,6033 2249,"30 - 32 Posiedon St, COROWA, NSW, 2646",72946.04759089043
Star of the Sea PS to Karalta/Ilya,School Service,Out,School,2529,2529-49080,OMBSC006,Busways OMR6,OMBSC Contract 6,5.69,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",6822.460050995008
"Bangalow Coach Stop, Station St to Byron Bay",Byron Bay to Ballina via Bangalow,In,Regular,641,641-88,M0794,CDCNSW,RRBSC M0794,15.64,info.northcoast@cdcbus.com.au / andrew.fogg@cdcbus,0413 498 237,02 6686 2144,02 6686 2144,"5 De Havilland Crescent, BALLINA, NSW, 2478",17806.83691757805
Engadine Station McDonalds to Westfield Miranda: Stand 3,Miranda to Woronora Heights (Loop Service),In,Regular,993,993-305,GSBC010,U-Go Mobility,GSBC Contract 10,13.73,Leanne.frederiksen@u-gomobility.com,0411018331,,,,16587.63195140134
RBCC 3 - Parkes to Red Bend Catholic via Tanks Rd,RBCC 3 - Parkes to Red Bend Catholic via Tanks Rd,In,School,S466,S466-1,P0229,Western Road Liners,RRPBC P0229,50.02,cjm@westernroadliners.com.au,0429 432 560,02 6862 1915,02 6862 1022,"30 Danilenko St, PARKES, NSW, 2870",60004.127461218595
Marsh/Warradale to Glenmore Park HS,School Service,In,School,4158,4158-77013,GSBC001,Busways R1,GSBC Contract 1,31.89,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",38498.9970489782
Grose Vale Rd/Riverview to Arndell College,School Service,In,School,5085,5085-63022,GSBC001,Busways R1,GSBC Contract 1,43.12,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",51852.86615111291
"Macquarie Fields TAFE Campus, Victoria R - Main Ca",Liverpool to Campbelltown via Macquarie Fields,Out,Regular,872,872-135,GSBC002,Transit Systems NSW SW,GSBC Contract 2,23.19,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",28048.78456156791
Dog Bus - Alstonville to St John's via Pimlico & Lismore,Dog Bus - Lismore Heights Primary to Alstonville via Coolgardie,In,School,S519,S519-1,M0823,Ballina Buslines,RRBSC M0823,87.57,info@buslinesgroup.com.au,02 9747 7000,,,"1 Burwood Rd, BURWOOD, NSW, 2134",99899.66096701189
Berinba Primary to Sutton Rd,Shingle Hill Way - Yass HS via Murrumbateman,Out,School,S265,S265-5,M0237,QCity Transit,RRBSC M0237,63.88,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",78057.2382649231
Balmoral to St Leonards - RNSH,Balmoral to Royal North Shore Hospital,In,Regular,114,114-32,GSBC008,KD Northern Beaches,GSBC Contract 8,8.07,kdnb.customerservice@keolisdowner.com.au,0448 324 844,,,"630-636 Pittwater Road, BROOKVALE, NSW, 2100",9726.948925577066
Hindu Temple - Helensburgh,Stanwell Tops - Helensburgh,In,Regular,15,15-2,OSMBSC009,Premier Charters,OSMBSC Contract 9,6.22,compliance9@premierillawarra.com.au,0437229577,02 4271 1322,(02) 4271 1322,"145 Walker Street, HELENSBURGH, NSW, 2508",7544.448469275591
Murringo to Young Schools,Murringo to Young Schools,In,School,S687,S687-1,C0423,Loaders Coaches,RRPBC C0423,61.79,info@loaderscoaches.com.au,0418 607 381,(02) 6343 1797,(02) 6343 1797,"1 Manganese Road, GRENFELL, NSW, 2810",74911.341376361
Lighthouse Plaza to Port Central,PortMacq-LighthousePlazaViaShellyBch,In,Regular,322,322-54,L0822,Busways,RRBSC L0822,12.34,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",14503.495210917827
Blaxlands Flat Rd to Grafton Schools via Ellandgrove Rd,Blaxlands Flat Rd to Grafton Schools via Ellandgrove Rd,In,School,S872,S872-25,C0403,BNA Buses,RRPBC C0403,37.17,harvey@bnabuses.com.au,0403 352 211,,02 6642 6518,"3 Arkan Avenue, WOOLGOOLGA, NSW, 2456",42860.72637470781
"Ralston & Murray Sts, Lane Cove to St Michael's Primary (Lane Cove)",School Service,In,School,696w,696w-1,GSBC007,Busways North West,GSBC Contract 7,3.22,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",3885.305776308708
Woodenbong to Clover Park via Muli Muli & Urbenville,Clover Park to Woodenbong via Urbenville & Muli Muli,Out,School,S928,S928-2,C0482,AJ & CA Olive,RRPBC C0482,43.24,ajcaolive@bigpond.com,0439323577,,,"17783 Clarence Way,, URBENVILLE, NSW, 2475",49185.95713573934
Glen Innes Schools to Town 3 Glen Innes,Town 3 Glen Innes to Glen Innes Schools,Out,School,S535,S535-2,C0312,Glen Innes Bus Services,RRPBC C0312,13.8,info@gleninnesbusservices.com.au,0437 001 521,,,"9905 New England Highway, GLEN INNES, NSW, 2370",15917.901375620115
Bulahdelah Central School to Bulahdelah Central S,School Service,In,School,S642,S642-7194,M0821,Busways,RRBSC M0821,6.97,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",8276.100878048663
Berrilee to Pennant Hills Stn,Berowra Waters to Castle Hill or Pennant Hills,In,Regular,638,638-310,GSBC004,CDC NSW R4,GSBC Contract 4,30.25,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",36431.55070354695
Bathurst to West Bathurst via South Bathurst (Loop Service),Bathurst to West Bathurst via South Bathurst (Loop Service),In,Regular,526,526-1,M0301,Bathurst Buslines,RRBSC M0301,19.74,info@buslinesgroup.com.au,0418 214 135,,,,23701.94693762276
Greenethorpe to Young Schools via Wirrimah,Greenethorpe to Young Schools via Wirrimah,In,School,S595,S595-1,C0670,Keir's Bus Service,RRPBC C0670,61.95,keirsbusservice@gmail.com,0407 222 563,,,,75068.76582731087
Ashmont High to Holy Trinity Primary,Ashmont High to Holy Trinity Primary,In,School,S158,S158-1,L0326,Busabout Wagga,RRBSC L0326,9.84,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",12039.15436024325
Domremy College Five Dock - Concord West Station,Concord West - Domremy College,Out,School,674s,674s-6,SBSC006,Transit Systems West,SBSC Contract 6,10.01,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",12076.758249880888
27 Broadmeadow Stn to Wallsend,Wallsend to Broadmeadow Station,Out,Regular,27,27-11,NISC001,Newcastle Transport,NISC Bus,15.42,contact@newcastletransport.info,0402 027 065,02 4974 1651 ,,"89 Denison Street, HAMILTON, NSW, 2303",18408.620363975184
Berowra Station to Hornsby Station,Berowra to Hornsby,Out,Regular,597,597-30,GSBC014,CDC NSW R14,GSBC Contract 14,11.31,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",13633.367520259311
St Andrews Senior Campus to Riverstone Stn,School Service,Out,School,6582,6582-41109,GSBC001,Busways R1,GSBC Contract 1,18.81,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",22661.51496055528
Dural Round Corner to City Kent St,Dural to City Wynyard,In,Regular,642X,642X-68,GSBC004,CDC NSW R4,GSBC Contract 4,37.24,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",44897.429184866174
St Brigids PS to Mustons/Tarean,School Service,Out,School,S651,S651-67072,M0821,Busways,RRBSC M0821,48.31,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",57529.515324010004
"Squirrel Bus  Picton Station to Bargo Public via Bargo, Yanderra and Yerrinbool","Picton Station to Bargo Public via Bargo, Yanderra and Yerrinbool",In,School,S839,S839-1,P0203,Picton Buslines,RRPBC P0203,45.01,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",54626.892328662754
Grabbengullen to Goulburn Schools,Grabbengullen to Goulburn Schools,In,School,S834,S834-1,C0729,PBC Goulburn,RRPBC C0729,66.55,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",81039.10090508626
"Liverpool Stn, Std F - Fairfield Stn, Std F",Liverpool to Fairfield via Abbotsbury,In,Regular,808,808-13,GSBC003,Transit Systems NSW,GSBC Contract 3,26.97,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",32541.113798063743
Kellyville Celia Rd to Rouse Hill Station,North Kellyville to Rouse Hill Station,In,Regular,605,605-21,GSBC004,CDC NSW R4,GSBC Contract 4,6.7,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",8070.734781752577
(Clockwise loop) Glenfield Park to Wagga Wagga via Bruce St and Turvey Park ED:6320,Glenfield Park to Wagga Wagga via Bruce St and Turvey Park,In,Regular,963,963-6,L0326,Busabout Wagga,RRBSC L0326,20.81,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",25481.94289158918
Plumpton Marketplace to Norwest Circa Shoppi,Bella Vista to St Marys via Plumpton,Out,Regular,745,745-196,GSBC001,Busways R1,GSBC Contract 1,22.73,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",27390.90783425199
Prince St (Market Sq) to Prince St (NAB),Yamba-Maclean-Grafton,In,Regular,380,380-132,L0816,Busways,RRBSC L0816,153.97,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",177066.3632919352
Hearnes Lake to St Francis Xavier,Bucca Rd and Solitary Is Wy to St Francis Xavier,In,School,S839,S839-3,M0789,Forest Coach Lines,RRBSC M0789,17.77,info.fcl@cdcbus.com.au,0413498237,02 6652 3201 ,02 6653 3345,,20557.87762783452
Gulgong Schools to Laheys Creek,FORDS CREEK TO GULGONG,Out,School,S307,S307-1,V0730,Ogdens Coaches,RRBSC V0730,34.56,mandi@ogdenscoaches.com.au,0428 636 793,,,"130 Thornton Street, WELLINGTON, NSW, 2820",40952.48669939847
Martin Place - Glebe Point,Glebe Point - Martin Place,Out,Regular,431,431-195,SBSC006,Transit Systems West,SBSC Contract 6,5.02,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",6056.278721869386
Torrens Ave after Coral St to Central Coast Hwy before Coleridge Rd,The Entrance North to Gosford via Bateau Bay East,In,Regular,21,21-8,OMBSC007,Redbus CDC NSW,OMBSC Contract 7,8.81,jodie.mallia@cdcbus.com.au,0243328655,,,"28 Prosperity St, TRUGANINA, VIC, 3029",10572.619725015187
Stella Maris - Warilla,Shellharbour Rd opp Peterborough Ave to Shellharbour PS ,Out,School,S214,S214-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,12.51,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",15211.851543360366
Dragon Bus - Lithgow Schools to Hartley Vale,Dragon Bus - Lithgow Schools to Hartley Vale,Out,School,S380,S380-2,M0302,Lithgow Buslines,RRBSC M0302,42.9,info@buslinesgroup.com.au,0407 417 936,,,"1 Burwood Road, BURWOOD, NSW, 1805",51577.42041674425
